model,rmse_mean,rmse_std
XGBoost,0.4678352563215776,0.01192118037202419
CatBoost,0.47032382996956235,0.012977200569414113
RandomForest,0.5060222416546536,0.01544949946738624
LinearRegression,0.720472599387967,0.02355415665333641
